iter	Passed	Remaining
368	640	1094
369	641	1091
370	642	1089
371	643	1085
372	644	1083
373	645	1080
374	648	1080
375	650	1079
376	650	1075
377	652	1073
378	653	1071
379	654	1068
380	655	1065
381	656	1062
382	657	1059
383	658	1056
384	661	1057
385	664	1056
386	665	1053
387	668	1054
388	669	1051
389	670	1048
390	671	1045
391	672	1043
392	673	1039
393	674	1036
394	677	1037
395	679	1036
396	680	1034
397	683	1034
398	684	1031
399	685	1028
400	686	1026
401	688	1023
402	689	1021
403	692	1021
404	695	1021
405	700	1024
406	701	1022
407	702	1019
408	704	1017
409	705	1014
410	708	1015
411	709	1013
412	710	1010
413	712	1008
414	713	1006
415	714	1003
416	715	1000
417	716	997
418	717	994
419	718	991
420	719	988
421	719	985
422	722	985
423	724	983
424	725	981
425	725	978
426	728	976
427	728	974
428	729	971
429	730	968
430	731	965
431	732	962
432	732	959
433	734	957
434	734	954
435	738	955
436	739	952
437	740	950
438	742	949
439	743	946
440	744	943
441	745	941
442	746	938
443	747	936
444	748	933
445	749	930
446	749	927
447	753	928
448	755	926
449	757	925
450	758	923
451	759	920
452	760	917
453	761	915
454	762	913
455	763	910
456	764	908
457	767	907
458	769	906
459	770	904
460	772	903
